,university_name,country,ranking,no_student,no_student_p_staff,pct_intl_student,year,score_overall,score_teaching,score_research,score_citation,score_industry,score_int_outlook,male,female
2833,Londrina State University,Brazil,1053,16461,9.8,,2018,9.2–15.5,23.8,9.4,10.6,31.8,16.3,57.0,43.0
2834,Lviv Polytechnic National University,Ukraine,1054,28691,12.2,1%,2018,9.2–15.5,18.2,7.6,3.7,31.8,25.0,,
2835,Maharaja Sayajirao University of Baroda,India,1055,29624,29.1,,2018,9.2–15.5,14.5,7.5,13.6,32.2,13.3,56.0,44.0
2843,National Polytechnic University (IPN),Mexico,1063,173868,10.3,,2018,9.2–15.5,19.9,8.8,9.7,32.9,21.2,39.0,61.0
2850,PMAS Arid Agriculture University Rawalpindi,Pakistan,1070,9957,40.5,,2018,9.2–15.5,17.9,9.0,9.8,31.7,28.3,39.0,61.0
2851,PSG College of Technology,India,1071,8490,14.7,,2018,9.2–15.5,16.6,8.4,7.2,32.2,12.8,38.0,62.0
2853,SASTRA University,India,1073,13147,18.9,,2018,9.2–15.5,16.2,8.2,15.0,32.4,12.6,50.0,50.0
2865,State University of Western Paraná (Unioeste),Brazil,1085,10791,5.0,,2018,9.2–15.5,22.4,4.6,2.4,31.9,13.6,53.0,47.0
2866,Tamil Nadu Agricultural University,India,1086,5780,7.1,,2018,9.2–15.5,24.9,8.8,2.8,35.3,14.8,62.0,38.0
2877,"University of Veterinary and Animal Sciences, Lahore",Pakistan,1097,5003,28.6,,2018,9.2–15.5,15.7,9.1,4.4,35.1,29.3,45.0,55.0
2879,Volgograd State Technical University,Russian Federation,1099,9254,12.0,6%,2018,9.2–15.5,17.7,6.9,2.0,41.5,17.7,,
2881,Yazd University,Iran,1101,13600,23.9,,2018,9.2–15.5,14.6,9.9,14.8,0.4,15.5,56.0,44.0
2883,University of Zanjan,Iran,1103,10305,25.8,,2018,9.2–15.5,16.2,9.4,15.7,38.3,17.3,55.0,45.0
